TweetID,tweet,brand_name
189,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
190,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
191,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
192,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
193,Oh my gucci,Gucci
194,RT TREASUREWRDR HYUNSUK wearingGUCCI Roundframe sunglasses 408 gift from choihyunsukbar CHOIHYUNSUK TREASURE TREASU,Gucci
195,What a great day today the time of my life Im so Gucci right now gucci hawaii love aloha Honolulu Hawaii,Gucci
196,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
197,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
198,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
199,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
200,So good I had to share Check out all the items Im loving on Poshmarkapp from AnnJessica19 poshmark fashion,Gucci
201,RT gucci Winners of Top Social Artist at the BBMAs group BTStwt including V Suga Jin Jungkook RM Jimin and JHope wore Gucci b,Gucci
202,RT TREASUREWRDR HYUNSUK wearingGUCCI Roundframe sunglasses 408 gift from choihyunsukbar CHOIHYUNSUK TREASURE TREASU,Gucci
203,RT MarCanArt LONG HAIR HARRY TODAY harrystyles harry fineline gucci music draw drawing drawthisinyourstyle drawingoftheday ill,Gucci
204,RT hotdiggitydoll You know Harrydoll loves a good handbag guccibeloved HarryStyles AlessandroMichele harrydoll gucci hucci James,Gucci
205,As we eagerly wait with bated breath for House Of Gucci the upcoming biopic following the murder of Maurizio Gucci,Gucci
206,Is it me or has Gucci had a inflation rise,Gucci
207,RT mytalk1071 Dakota Johnson James Corden and Harry Styles with a purse in Guccis latest campaign,Gucci
208,RT mytalk1071 Dakota Johnson James Corden and Harry Styles with a purse in Guccis latest campaign,Gucci
209,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
210,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
211,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
212,So good I had to share Check out all the items Im loving on Poshmarkapp from Eunice55566954 poshmark fashion,Gucci
213,2550Gucci guilty black for women edt 75ml gucci Howtoperfect,Gucci
214,RT gucci jeremyoharris phoebebridgers AchilleLauro AchilleIDOL MiyaviIshihara all in Gucci to the digital presentation of the,Gucci
215,RT gucci AndersonPaakBenedettaPorcaroli bennipi and arloparks wearing Gucci to the digital premiere of GucciAria AlessandroMich,Gucci
216,RT gucci To a digital presentation of GucciAria NiNi wore a Gucci wool dress with contrast trim a GGMulticolour GGMarmont bag and,Gucci
217,RT gucci celeste NabhaanRizwan and AleBorghi wore Gucci to the digital debut of GucciAria a film codirected by FloriaSigismondi,Gucci
218,My travel perfume collection perfume travel products Gucci Nettare De Fiori is my current favorite from Guccis,Gucci
219,RT hepharaoh Its Ah bag GUCCI,Gucci
220,Thanks Lootie LootieCom lootieunboxing nikesbairforce2 gucci,Gucci
221,RT Carileed3 thinking about HarryStyles what a time to b alive amp watch him growglow up amp blossom I really hope he stays sweet n hum,Gucci
222,RT Carileed3 thinking about HarryStyles what a time to b alive amp watch him growglow up amp blossom I really hope he stays sweet n hum,Gucci
223,So good I had to share Check out all the items Im loving on Poshmarkapp from dmbrown821 poshmark fashion,Gucci
224,So good I had to share Check out all the items Im loving on Poshmarkapp from Poshology1 poshmark fashion,Gucci
225,DakotaJohnson Wears Sheer Gucci Jumpsuit With A Pink Sequined CardiganGucci Fashion Lifestyle NewProduct,Gucci
226,Its Ah bag GUCCI,Gucci
227,thinking about HarryStyles what a time to b alive amp watch him growglow up amp blossom I really hope he stays sw,Gucci
228,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
229,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
230,So good I had to share Check out all the items Im loving on Poshmarkapp from lisazutter poshmark fashion,Gucci
231,So good I had to share Check out all the items Im loving on Poshmarkapp from BEMAElise poshmark fashion,Gucci
232,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
233,RT miyavijapan BeautifulGucciNamiki GUCCIMIYAVI,Gucci
234,RT TREASUREWRDR MASHIHO wearingGENTLEMONSTER DUA OL1GUCCI GG Faux pearl necklaceRHUDE Black Madison TshirtTREASURE TREA,Gucci
235,RT ErigomKingdom RANDOM 210424You can call me monster KAI Jongin EXO GUCCI weareoneEXOCr hourlyzkdlinZkdlDO,Gucci
236,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
237,RT Daddycoool71 Here we go againsunnydays april picoftheday photooftheday palmangels luisvuitton gucci fitbit fitbitsense ove,Gucci
238,RT TREASUREWRDR MASHIHO wearingGENTLEMONSTER DUA OL1GUCCI GG Faux pearl necklaceRHUDE Black Madison TshirtTREASURE TREA,Gucci
239,Here we go againsunnydays april picoftheday photooftheday palmangels luisvuitton gucci fitbit,Gucci
240,RT mytalk1071 Dakota Johnson James Corden and Harry Styles with a purse in Guccis latest campaign,Gucci
241,RT mytalk1071 Dakota Johnson James Corden and Harry Styles with a purse in Guccis latest campaign,Gucci
242,CHANEL AS1358 Matrasse 2WAY Chain Shoulder Hand Bag Lambskin Black Rare Item specifics,Gucci
243,RT mytalk1071 Dakota Johnson James Corden and Harry Styles with a purse in Guccis latest campaign,Gucci
244,Dakota Johnson James Corden and Harry Styles with a purse in Guccis latest campaign,Gucci
245,RT TREASUREWRDR MASHIHO wearingGENTLEMONSTER DUA OL1GUCCI GG Faux pearl necklaceRHUDE Black Madison TshirtTREASURE TREA,Gucci
246,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
247,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
248,Selfie using analogue Rosco color correction gel filters Velvet OverGround electricviolin gucci shades,Gucci
249,RT ErigomKingdom RANDOM 210424You can call me monster KAI Jongin EXO GUCCI weareoneEXOCr hourlyzkdlinZkdlDO,Gucci
250,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
251,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
252,So good I had to share Check out all the items Im loving on Poshmarkapp from renamiles3000 poshmark fashion,Gucci
253,So good I had to share Check out all the items Im loving on Poshmarkapp from raiderdallas poshmark fashion,Gucci
254,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
255,Harry Styles In Style Watch His Gucci Talk Show Here HarryStyles GUCCI BeLoved,Gucci
256,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
257,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
258,So good I had to share Check out all the items Im loving on Poshmarkapp from AnnJessica19 poshmark fashion,Gucci
259,So good I had to share Check out all the items Im loving on Poshmarkapp from BRANDIESTATES poshmark fashion,Gucci
260,souljaboy did gucci bandanna Then 1future popped out with gucci flipflops Who gone do gucci socks,Gucci
261,Everyone is wanting a reality show about Tyler Poseys life Netflix MTV TylerPoseyFans PeopleChoice,Gucci
262,RT ErigomKingdom RANDOM 210424You can call me monster KAI Jongin EXO GUCCI weareoneEXOCr hourlyzkdlinZkdlDO,Gucci
263,RANDOM 210424You can call me monster KAI Jongin EXO GUCCI weareoneEXOCr hourlyzkdlinZkd,Gucci
264,RT gucci Seeking adventure in the Alps in the campaign with the new collaboration between thenorthface and Gucci TheNorthFacexGucci,Gucci
265,RT FashionMentions Fashion Mentions Featuring Gucci Style amp womensfashion,Gucci
